ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.119873,2.39177,11.011108,0.227341,-0.249039,0.07991,5.3604,-35.3729,-31.3232,26.881237,88.80416,101.9757,NaN,0.0,3.216,,0 / 26,3016,2021-06-14 11:12:15:058
-0.171783,2.090103,9.263351,-0.003738,0.409927,0.21138,3.5141,-36.8225,-31.4026,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 20,3517,2021-06-14 11:12:15:559
-0.430344,0.782867,9.938507,-0.085403,-0.063141,0.04129,3.5141,-33.4518,-37.0285,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 20,4015,2021-06-14 11:12:16:057
-0.392044,-0.102982,9.708664,0.0,-0.005447,0.11293,2.9861,-30.0842,-42.2394,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 20,4515,2021-06-14 11:12:16:557
-0.396835,-0.012009,9.761337,9.2E-5,5.95E-4,-0.002487,2.9861,-29.8431,-43.7988,26.881237,88.80416,101.9757,NaN,0.0,3.216,,0 / 35,5015,2021-06-14 11:12:17:057
-0.37767,0.035873,9.737396,4.43E-4,-3.81E-4,3.66E-4,2.7222,-30.8075,-41.1514,26.881237,88.80416,101.9757,NaN,0.0,3.216,,0 / 35,5516,2021-06-14 11:12:17:558
-0.396835,0.016724,9.742188,-5.34E-4,4.12E-4,4.58E-4,2.1942,-29.364,-40.979,26.881237,88.80416,101.9757,NaN,0.0,3.216,,9 / 36,6015,2021-06-14 11:12:18:057
-0.392044,0.040665,9.742188,9.2E-5,6.1E-5,3.66E-4,2.4582,-30.8075,-41.7038,26.881237,88.80416,101.9757,NaN,0.0,3.216,,9 / 36,6515,2021-06-14 11:12:18:557
-0.396835,0.021515,9.746979,-9.2E-5,-0.001266,-2.59E-4,2.9861,-30.0842,-42.746,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 36,7016,2021-06-14 11:12:19:058
-0.368103,0.035873,9.732605,-5.34E-4,-8.24E-4,8.09E-4,2.7222,-30.5664,-43.2175,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 36,7515,2021-06-14 11:12:19:557
