ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.397613,2.813156,12.959991,-0.524689,-0.574692,0.097824,-17.5919,-33.0292,-36.7294,26.881195,88.8045,125.5212,NaN,0.0,25.728,,0 / 38,2512,2021-06-14 12:00:39:014
-0.875671,2.166718,7.582611,0.570328,0.375885,0.629837,-25.2441,-32.3288,-29.068,26.881195,88.8045,125.5212,NaN,0.0,25.728,,9 / 23,3013,2021-06-14 12:00:39:515
0.225662,3.167496,9.780487,0.477814,1.269196,1.311874,-32.6324,-18.1488,-35.7605,26.881195,88.8045,125.5212,NaN,0.0,25.728,,9 / 23,3512,2021-06-14 12:00:40:014
-6.77977,4.728516,8.454102,-0.367386,1.680039,0.246872,-2.5574,-6.9946,-62.7548,26.881195,88.8045,125.5212,NaN,0.0,25.728,,9 / 23,4012,2021-06-14 12:00:40:514
-1.057632,4.96315,8.094971,0.578308,0.371704,1.062515,-2.298,15.1474,-59.3155,26.881195,88.8045,125.5212,NaN,0.0,25.728,,0 / 31,4515,2021-06-14 12:00:41:017
-1.392822,5.149887,7.917801,0.020386,0.648499,0.70192,10.8948,13.4995,-58.7646,26.881195,88.8045,125.5212,NaN,0.0,25.728,,0 / 31,5012,2021-06-14 12:00:41:514
-3.308182,4.876953,7.659226,0.016739,0.590088,0.751541,30.4184,8.017,-50.9018,26.881195,88.8045,125.5212,NaN,0.0,25.728,,14 / 31,5513,2021-06-14 12:00:42:015
-3.600265,3.488312,7.798096,-0.533646,0.685791,1.610596,38.8641,-8.8058,-40.0391,26.881195,88.8045,125.5212,NaN,0.0,25.728,,14 / 31,6012,2021-06-14 12:00:42:514
-0.468658,-0.940948,8.60733,-0.808228,3.379669,3.696823,31.7429,-26.8768,-37.2528,26.881195,88.8045,125.5212,NaN,0.0,25.728,,16 / 31,6512,2021-06-14 12:00:43:014
0.517761,-4.168335,10.594528,-0.302216,0.071564,1.261719,16.7023,-11.0336,-58.2153,26.881195,88.8045,125.5212,NaN,0.0,25.728,,16 / 31,7013,2021-06-14 12:00:43:515
-4.069534,-4.594513,4.0775,-1.706238,0.428177,1.015915,25.6729,-12.9333,-53.8025,26.881195,88.8045,125.5212,NaN,0.0,25.728,,17 / 31,7512,2021-06-14 12:00:44:014
-4.792587,-7.103622,3.115036,0.181137,-0.214447,-0.136627,25.9323,15.4663,-49.8886,26.881195,88.8045,125.5212,NaN,0.0,25.728,,17 / 31,8013,2021-06-14 12:00:44:515
-0.281906,-9.354187,-1.333389,-0.350693,-0.581696,0.701035,19.0704,34.4605,-32.9926,26.881195,88.8045,125.5212,NaN,0.0,25.728,,18 / 31,8513,2021-06-14 12:00:45:015
3.041245,-9.560074,0.007355,-1.236633,-0.78952,-0.166977,3.7674,32.9742,-45.0317,26.881195,88.8045,125.5212,NaN,0.0,25.728,,18 / 31,9012,2021-06-14 12:00:45:514
